id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 1607880757 ,3e202bb9-7c02-396f-a143-f8b4aba5c27c,  -14.887090 ,  -43.227140 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607880758 ,40dbcf85-df35-3b28-b80e-1603ed580a28,  -14.889680 ,  -43.242420 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607880759 ,d3de351f-4317-3be3-bcec-a1ade13875ea,  -14.892250 ,  -43.257640 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607880760 ,14cd9644-68e8-3aaf-ab22-f0a8e6eae06d,  -14.901000 ,  -43.240390 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607880761 ,2da58e37-f695-3e52-bf14-997d29f8f91b,  -14.898430 ,  -43.225120 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,GAMELEIRAS,Caatinga
 1607880767 ,c8dd1774-d0d5-3903-a1a1-ff0ea831d706,  -15.441060 ,  -41.793180 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,SÃO JOÃO DO PARAÍSO,Mata Atlântica
 1607880768 ,27f9b128-ee81-35d2-8393-9c1cc864596e,  -15.557660 ,  -42.832870 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,PORTEIRINHA,Cerrado
 1607880769 ,3157913f-aa0c-3eb0-91f8-6080efad9170,  -15.442430 ,  -41.785520 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,SÃO JOÃO DO PARAÍSO,Mata Atlântica
 1607880770 ,1ea180ac-adfd-3a5f-a46f-dbd2ad30404d,  -15.482740 ,  -42.036740 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,INDAIABIRA,Mata Atlântica
 1607880771 ,b7180998-e03f-3afe-9a8d-de28b062af0a,  -15.645540 ,  -43.212810 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,PORTEIRINHA,Caatinga
 1607880772 ,47dcc020-661a-36f3-85dc-1ea9172bfa58,  -15.656680 ,  -43.210510 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,PORTEIRINHA,Caatinga
 1607880783 ,4012a99f-6505-3e31-8e01-33ef6e0f6ca6,  -17.028580 ,  -46.946640 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 1607880784 ,331154cd-4a3f-3d00-b9db-2db9562a8a8a,  -17.046600 ,  -45.020400 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,BURITIZEIRO,Cerrado
 1607880785 ,c94dd184-36d6-3a1f-9bca-020fd72bfd8d,  -17.497880 ,  -43.325960 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,DIAMANTINA,Cerrado
 1607880788 ,85d9b258-4cdc-3b33-85b9-890227ea37ce,  -17.693840 ,  -43.945230 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,BUENÓPOLIS,Cerrado
 1607880790 ,e2231100-ea43-3d75-95ca-48dc53715cde,  -17.820750 ,  -42.301730 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica
 1607880791 ,df66af43-2d98-37c9-8d7a-3a5e5412f7d5,  -17.823450 ,  -42.317500 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,ÁGUA BOA,Mata Atlântica
 1607880792 ,71abf1f0-eb99-37fa-ab70-63eb1ce3663a,  -18.784910 ,  -47.187960 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,PATROCÍNIO,Cerrado
 1607880794 ,d577c965-1423-3a3a-bd97-b7b50e1423e8,  -19.197040 ,  -43.681060 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,SANTANA DO RIACHO,Cerrado
 1607880795 ,cec0c782-854d-3560-aedf-478cb5388a83,  -19.199040 ,  -43.693080 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,SANTANA DO RIACHO,Cerrado
 1607880796 ,5e517d11-5a7f-3567-9b8b-1dfe1321e248,  -19.273750 ,  -44.927580 ,2022-10-20 17:02:00,Brasil,MINAS GERAIS,POMPÉU,Cerrado
